"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating"
128.001,2021,6,7,2,6.875,15.563,6.938,66.375,25.75,6.5
125.251,2021,6,10,1,3.5,10.313,5.188,84.625,15.375,6.25
135.751,2021,5,23,13,10.75,23.25,6.188,62.438,26.875,6.25
106.501,2021,6,12,3,7.625,12.438,4.625,0,75.563,6.25
125.75,2021,5,29,21,8.25,12.375,4.375,74.5,20,6.25
125.25,2021,6,3,4,5.875,9.625,4.875,83.5,15.625,5.75
328.688,2021,6,16,15,84.875,22.75,14.938,0,200.125,6
124.251,2021,5,30,21,6.5,16.688,7.813,64.375,23.125,5.75
203.25,2021,6,14,9,118.125,16.375,13.25,0,48.5,7
328.688,2021,6,19,7,84.875,22.75,14.938,0,200.125,6
14.875,2021,6,10,20,1.5,8.25,5.125,0,0,0
202.001,2021,6,11,11,75.5,22.813,27.063,0,70.125,6.5
194.751,2021,6,2,22,91.625,14.188,9.875,56.313,17,5.75
151.001,2021,6,4,10,40.5,18.063,20.188,49,16.75,6.5
148.751,2021,6,12,8,5.5,11.938,4.875,0,120.688,5.75
236.251,2021,6,3,21,71,21.438,20,100.938,16.625,6.25
185.501,2021,5,26,23,46.5,15.875,10.938,88.813,17.375,6
8,2021,5,28,5,6.5,1,0.5,0,0,0
137.001,2021,6,5,20,7.25,16.938,6.938,70.625,29.25,6
297,2021,5,31,15,136,37.5,33,54.25,27.25,9
328.688,2021,6,16,16,84.875,22.75,14.938,0,200.125,6
256.751,2021,6,9,19,107.25,23.688,27.563,63,28.5,6.75
136.5,2021,5,23,6,10.625,12.625,8.5,64.25,28.5,12
122.75,2021,5,26,4,6,12.375,4.375,78.5,15.25,6.25
62.25,2021,6,12,12,7,11,4.625,0,33.375,6.25
328.688,2021,6,18,14,84.875,22.75,14.938,0,200.125,6
206.001,2021,6,11,10,89.625,21.188,20.625,0,67.813,6.75
154.501,2021,5,29,0,61.625,15.313,5.875,49.563,16.125,6
60.75,2021,6,13,11,6.25,20.125,4.875,5.75,18.5,5.25
328.688,2021,6,15,3,84.875,22.75,14.938,0,200.125,6
131.751,2021,6,7,3,3.625,12.125,4.438,86.313,18,7.25
128.251,2021,6,8,2,11,13.063,4.188,73.75,20.5,5.75
77.001,2021,6,12,6,6.25,12.438,6.375,12.188,33.75,6
120.751,2021,6,6,7,6,8.5,5.063,74.438,21.5,5.25
282.563,2021,6,11,19,39.375,20,17.438,0,202,3.75
124.751,2021,6,10,4,4.75,12.875,5.188,77.563,18.625,5.75
112.751,2021,6,6,16,7.75,18,5.438,61.188,14.625,5.75
99,2021,6,4,4,3.875,10.25,4,57.625,17.25,6
131.25,2021,5,30,1,4.75,9.375,4.75,76.5,29.625,6.25
135.751,2021,5,26,3,10.625,12.438,6,77.313,23.125,6.25
358.125,2021,6,10,19,99.125,23.5,29,0,200.5,6
164.501,2021,6,3,0,73,13.063,7.875,41.188,23.375,6
128.501,2021,5,30,12,5,20.438,5.375,67.188,24.5,6
328.688,2021,6,18,15,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,19,14,84.875,22.75,14.938,0,200.125,6
234.25,2021,6,4,23,33.375,15.875,6.875,0,172.375,5.75
130.751,2021,5,22,3,9.75,13.938,7.688,78.875,14.75,5.75
328.688,2021,6,19,5,84.875,22.75,14.938,0,200.125,6
143.75,2021,6,5,2,71.625,11.875,9,16,29,6.25
328.688,2021,6,15,11,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,19,22,84.875,22.75,14.938,0,200.125,6
120.001,2021,5,23,16,6.875,15.563,6.375,67.063,18.125,6
127.251,2021,5,27,4,7.75,11.688,6.875,74.688,20,6.25
328.688,2021,6,15,21,84.875,22.75,14.938,0,200.125,6
293.001,2021,6,2,12,68.75,31.313,46.5,108.625,30.813,7
271.501,2021,5,26,17,89.125,34.313,31.313,71,31.25,14.5
328.688,2021,6,19,1,84.875,22.75,14.938,0,200.125,6
189.751,2021,5,25,23,100.375,17.188,10.625,30.813,24.5,6.25
149.501,2021,6,6,21,6.375,16.875,5.438,86.938,27.875,6
328.688,2021,6,18,18,84.875,22.75,14.938,0,200.125,6
193.001,2021,6,3,23,64.875,15,7.563,75.688,23.875,6
131.251,2021,5,24,12,9.5,17.5,14.313,66.438,17.25,6.25
63.251,2021,6,14,1,5.375,12.688,5.125,11.813,22,6.25
288.25,2021,6,9,13,29,26.75,35.375,162.875,27,7.25
116.001,2021,5,30,16,5.125,14.813,4.313,70.5,15.25,6
92.001,2021,5,22,22,7.375,11.438,5.875,43.813,17,6.5
115.751,2021,6,5,22,7.375,7.563,3.313,79.625,13.125,4.75
127.501,2021,5,31,5,6.5,15.563,5.625,77.063,17.75,5
328.688,2021,6,20,3,84.875,22.75,14.938,0,200.125,6
123.501,2021,5,28,3,11.875,21.625,6.938,53.688,23.375,6
125.25,2021,5,30,13,8.625,22.125,4.75,67.25,16.75,5.75
328.688,2021,6,17,22,84.875,22.75,14.938,0,200.125,6
278.501,2021,5,26,15,73,34,37.563,95.563,27.375,11
6.313,2021,6,3,8,4,0.75,1.563,0,0,0
178.001,2021,5,24,9,10.5,12.813,13.063,67.875,17.25,56.5
289.751,2021,5,28,15,96.25,25.438,35.25,86.813,36.25,9.75
42,2021,6,13,4,5.75,9.375,3,9.5,10.375,4
310.251,2021,6,7,11,78.5,31.688,35.438,115.625,33.75,15.25
124.251,2021,5,22,12,7,10.688,7.313,69,24,6.25
328.688,2021,6,18,2,84.875,22.75,14.938,0,200.125,6
248.75,2021,5,25,19,79.625,29.25,31.25,68.375,34.5,5.75
328.688,2021,6,19,9,84.875,22.75,14.938,0,200.125,6
246.251,2021,5,26,20,80.875,24.188,26.438,76.125,31.875,6.75
164.501,2021,5,26,7,26.625,11.813,6.438,89.375,13.25,17
328.688,2021,6,20,0,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,16,14,84.875,22.75,14.938,0,200.125,6
216.25,2021,5,31,8,16,13.375,10.875,151.375,18.375,6.25
328.688,2021,6,19,19,84.875,22.75,14.938,0,200.125,6
122.751,2021,5,26,1,25.75,10.375,4.438,60.688,15.25,6.25
116.751,2021,6,5,7,5.125,7.813,4.375,81.563,13.125,4.75
122.751,2021,5,30,10,5,13.313,4.375,77.5,16.313,6.25
328.688,2021,6,19,16,84.875,22.75,14.938,0,200.125,6
136.251,2021,6,7,1,6.25,8.563,4.75,90.313,21.125,5.25
272.501,2021,5,26,8,47.75,17.063,11.813,107.875,15,73
305.501,2021,5,31,11,119,43.063,34.875,73.188,28.375,7
