,0,1,2,3,4,5
131,78.11183,21.163542,13.348355,-0.72470564,184.89209,5.6895766
132,78.01082,21.028204,13.093343,-0.68303293,183.23654,5.7753124
133,78.79821,21.111181,13.203748,-0.89225835,180.57077,5.7550135
134,79.36145,21.141972,13.41325,-0.98700064,178.34155,5.752657
135,79.31487,21.113382,13.46357,-0.97005576,177.66946,5.744396
136,81.1024,21.297882,13.705813,-0.7135486,176.87117,5.585535
137,78.09438,21.175957,13.408123,-0.67824787,184.59113,5.6710906
138,78.422134,21.083189,13.314792,-0.92675704,181.41292,5.785846
139,79.13678,21.133837,13.272607,-0.9612965,179.5972,5.741421
140,79.11867,21.11493,13.410626,-0.81885,176.67581,5.75681
141,82.223465,21.056707,13.530459,-0.35257313,172.98428,5.3093095
142,78.10683,21.073778,13.487414,-0.7895443,182.6417,5.740106
143,77.88674,21.007265,13.40825,-0.82094663,182.03925,5.7619896
